metric,game,map_id,run_index,true_creator,forced_human,forced_ai,delta_ai_minus_human,forced_human_std,forced_ai_std,mean_condition_std,plot_forced_human,plot_forced_ai,plot_delta_ai_minus_human
fun,sokoban,f8sbFI0a,,Human,3.3,2.85,-0.44999999999999973,0.781,0.654,0.7175,3.3,2.85,-0.44999999999999973
fun,sokoban,iJNJxWfZ,,Human,3.55,3.3,-0.25,0.589,0.64,0.6145,3.55,3.3,-0.25
fun,sokoban,ij6onaGt,,AI,3.55,3.1,-0.44999999999999973,0.497,0.624,0.5605,3.55,3.1,-0.44999999999999973
fun,sokoban,oHSLE5UO,,AI,1.85,1.65,-0.20000000000000018,0.792,0.654,0.7230000000000001,1.85,1.65,-0.20000000000000018
fun,sokoban,t7mUz3Qe,,Human,2.1,1.8,-0.30000000000000004,0.624,0.678,0.651,2.1,1.8,-0.30000000000000004
fun,sokoban,wSCVt298,,AI,1.45,1.7,0.25,0.865,0.714,0.7895,1.45,1.7,0.25
challenging,mario,1AC82kGG,,Human,3.1,2.55,-0.5500000000000003,0.889,0.74,0.8145,3.1,2.55,-0.5500000000000003
challenging,mario,4PFJlLdR,,AI,2.7,2.15,-0.5500000000000003,1.054,0.853,0.9535,2.7,2.15,-0.5500000000000003
challenging,mario,4bMZDbcE,,Human,2.0,1.4,-0.6000000000000001,1.265,0.583,0.9239999999999999,2.0,1.4,-0.6000000000000001
challenging,mario,8cgqvaZu,,AI,2.85,2.3,-0.5500000000000003,1.314,0.954,1.134,2.85,2.3,-0.5500000000000003
challenging,mario,9Y6J8Rb8,,AI,1.95,2.65,0.7,0.805,1.276,1.0405,1.95,2.65,0.7
challenging,mario,Jvmo5e7c,,Human,2.65,1.8,-0.8499999999999999,0.726,0.872,0.7989999999999999,2.65,1.8,-0.8499999999999999
challenging,mario,KKZ1dszi,,AI,2.5,2.25,-0.25,0.922,0.622,0.772,2.5,2.25,-0.25
challenging,mario,RtKfCoTJ,,Human,1.6,1.4,-0.20000000000000018,1.02,0.917,0.9685,1.6,1.4,-0.20000000000000018
challenging,mario,S7F69Idf,,AI,1.45,1.4,-0.050000000000000044,0.669,0.49,0.5795,1.45,1.4,-0.050000000000000044
challenging,mario,U3v9pEvF,,AI,2.75,1.95,-0.8,1.178,0.589,0.8835,2.75,1.95,-0.8
challenging,mario,V5XEzcZd,,Human,1.35,1.4,0.04999999999999982,0.572,0.583,0.5774999999999999,1.35,1.4,0.04999999999999982
challenging,mario,XYTl4EzV,,Human,1.1,1.1,0.0,0.3,0.3,0.3,1.1,1.1,0.0
challenging,mario,Xd8WtCNl,,AI,2.55,2.65,0.10000000000000009,1.071,0.792,0.9315,2.55,2.65,0.10000000000000009
challenging,mario,br59gvRp,,AI,2.75,2.25,-0.5,1.337,1.043,1.19,2.75,2.25,-0.5
challenging,mario,dwIZVZn4,,AI,2.6,1.8,-0.8,1.114,0.872,0.9930000000000001,2.6,1.8,-0.8
challenging,mario,fc3fEIzT,,Human,1.2,1.55,0.3500000000000001,0.51,1.117,0.8135,1.2,1.55,0.3500000000000001
challenging,mario,gZGPAuuB,,Human,1.25,1.3,0.050000000000000044,0.433,0.458,0.4455,1.25,1.3,0.050000000000000044
challenging,mario,gngXYJwH,,AI,2.15,1.8,-0.34999999999999987,0.792,0.678,0.7350000000000001,2.15,1.8,-0.34999999999999987
challenging,mario,ktod92pA,,Human,3.15,2.65,-0.5,1.152,0.91,1.031,3.15,2.65,-0.5
challenging,mario,lY6ELCJ9,,Human,2.25,2.15,-0.10000000000000009,0.942,0.726,0.834,2.25,2.15,-0.10000000000000009
challenging,mario,lgoBPkQB,,AI,1.15,1.15,0.0,0.357,0.357,0.357,1.15,1.15,0.0
challenging,mario,mmMjssLU,,AI,1.4,1.3,-0.09999999999999987,0.49,0.557,0.5235000000000001,1.4,1.3,-0.09999999999999987
challenging,mario,oGL3xUR2,,Human,1.05,1.0,-0.050000000000000044,0.218,0.0,0.109,1.05,1.0,-0.050000000000000044
challenging,mario,pY9KB33X,,Human,2.1,1.55,-0.55,1.044,0.589,0.8165,2.1,1.55,-0.55
challenging,mario,tMYRotFs,,Human,1.9,1.85,-0.04999999999999982,1.136,0.654,0.895,1.9,1.85,-0.04999999999999982
challenging,mario,ueNqeTXa,,AI,3.1,2.5,-0.6000000000000001,1.179,1.118,1.1485,3.1,2.5,-0.6000000000000001
challenging,mario,vHybWiYq,,AI,2.4,2.4,0.0,1.393,1.068,1.2305000000000001,2.4,2.4,0.0
challenging,mario,x3V9NLQt,,Human,1.45,1.2,-0.25,0.497,0.4,0.4485,1.45,1.2,-0.25
challenging,mario,xYnV8Xi7,,AI,2.2,3.0,0.7999999999999998,1.568,1.817,1.6925,2.2,3.0,0.7999999999999998
challenging,mario,yAXhWaGh,,Human,2.25,1.5,-0.75,1.479,0.742,1.1105,2.25,1.5,-0.75
challenging,sokoban,2v2qgbvC,,Human,1.1,1.05,-0.050000000000000044,0.436,0.218,0.327,1.1,1.05,-0.050000000000000044
challenging,sokoban,3xtQxBWH,,Human,3.1,2.3,-0.8000000000000003,0.624,0.64,0.632,3.1,2.3,-0.8000000000000003
challenging,sokoban,5Au4nrI2,,Human,1.95,1.8,-0.1499999999999999,0.74,0.51,0.625,1.95,1.8,-0.1499999999999999
challenging,sokoban,5iXJGqnK,,AI,2.6,2.4,-0.20000000000000018,0.917,1.02,0.9685,2.6,2.4,-0.20000000000000018
challenging,sokoban,73sJaNBn,,Human,2.0,1.6,-0.3999999999999999,0.894,0.735,0.8145,2.0,1.6,-0.3999999999999999
challenging,sokoban,79DSy6TF,,AI,1.15,1.15,0.0,0.654,0.357,0.5055000000000001,1.15,1.15,0.0
challenging,sokoban,7V2mu5KA,,Human,2.35,1.45,-0.9000000000000001,0.654,0.74,0.6970000000000001,2.35,1.45,-0.9000000000000001
challenging,sokoban,8Ua6YU1D,,Human,1.45,1.1,-0.34999999999999987,0.805,0.3,0.5525,1.45,1.1,-0.34999999999999987
challenging,sokoban,H77pn4iQ,,AI,3.45,2.75,-0.7000000000000002,0.497,0.887,0.692,3.45,2.75,-0.7000000000000002
challenging,sokoban,HjLVlKx4,,Human,2.0,1.35,-0.6499999999999999,0.837,0.477,0.657,2.0,1.35,-0.6499999999999999
challenging,sokoban,Iz5BqRyu,,AI,2.75,2.3,-0.4500000000000002,0.829,0.843,0.836,2.75,2.3,-0.4500000000000002
challenging,sokoban,LUiVjpMm,,AI,1.15,1.35,0.20000000000000018,0.477,0.572,0.5245,1.15,1.35,0.20000000000000018
challenging,sokoban,QUT4qGl2,,Human,2.85,2.4,-0.4500000000000002,0.477,0.583,0.53,2.85,2.4,-0.4500000000000002
challenging,sokoban,QV6Qfb7T,,AI,2.85,2.35,-0.5,0.853,0.477,0.665,2.85,2.35,-0.5
challenging,sokoban,ROciIZDL,,Human,2.25,2.35,0.10000000000000009,1.09,0.792,0.9410000000000001,2.25,2.35,0.10000000000000009
challenging,sokoban,TIXMBKaj,,Human,2.85,2.25,-0.6000000000000001,0.792,0.698,0.745,2.85,2.25,-0.6000000000000001
challenging,sokoban,UTSKBMio,,AI,2.35,1.55,-0.8,0.726,0.589,0.6575,2.35,1.55,-0.8
challenging,sokoban,UeeTjy5b,,AI,1.05,1.05,0.0,0.218,0.218,0.218,1.05,1.05,0.0
challenging,sokoban,Z0SxyjXq,,Human,1.55,1.6,0.050000000000000044,0.865,0.663,0.764,1.55,1.6,0.050000000000000044
challenging,sokoban,aE7sjnta,,AI,1.4,1.1,-0.2999999999999998,0.583,0.436,0.5095,1.4,1.1,-0.2999999999999998
challenging,sokoban,bhRr4CCv,,Human,3.2,2.95,-0.25,0.748,0.74,0.744,3.2,2.95,-0.25
challenging,sokoban,cHhvQJlr,,AI,1.45,1.45,0.0,0.497,0.589,0.5429999999999999,1.45,1.45,0.0
challenging,sokoban,cTxMstwv,,AI,2.0,1.65,-0.3500000000000001,0.775,0.654,0.7145,2.0,1.65,-0.3500000000000001
challenging,sokoban,extLxWet,,AI,1.95,1.5,-0.44999999999999996,0.973,0.671,0.8220000000000001,1.95,1.5,-0.44999999999999996
challenging,sokoban,f8sbFI0a,,Human,2.4,2.0,-0.3999999999999999,0.8,0.775,0.7875000000000001,2.4,2.0,-0.3999999999999999
challenging,sokoban,iJNJxWfZ,,Human,2.75,1.95,-0.8,0.698,0.589,0.6435,2.75,1.95,-0.8
challenging,sokoban,ij6onaGt,,AI,2.05,2.1,0.050000000000000266,0.669,0.768,0.7185,2.05,2.1,0.050000000000000266
challenging,sokoban,oHSLE5UO,,AI,1.05,1.0,-0.050000000000000044,0.218,0.0,0.109,1.05,1.0,-0.050000000000000044
challenging,sokoban,t7mUz3Qe,,Human,1.05,1.0,-0.050000000000000044,0.218,0.0,0.109,1.05,1.0,-0.050000000000000044
challenging,sokoban,wSCVt298,,AI,1.05,1.0,-0.050000000000000044,0.218,0.0,0.109,1.05,1.0,-0.050000000000000044
frustrating,mario,1AC82kGG,,Human,1.25,1.4,0.1499999999999999,0.433,0.917,0.675,1.25,1.4,0.1499999999999999
frustrating,mario,4PFJlLdR,,AI,1.5,2.35,0.8500000000000001,1.072,1.526,1.299,1.5,2.35,0.8500000000000001
frustrating,mario,4bMZDbcE,,Human,1.6,1.4,-0.20000000000000018,1.319,1.068,1.1935,1.6,1.4,-0.20000000000000018
frustrating,mario,8cgqvaZu,,AI,2.25,1.6,-0.6499999999999999,1.445,1.2,1.3225,2.25,1.6,-0.6499999999999999
frustrating,mario,9Y6J8Rb8,,AI,3.3,2.55,-0.75,1.584,1.687,1.6355,3.3,2.55,-0.75
frustrating,mario,Jvmo5e7c,,Human,1.65,1.45,-0.19999999999999996,1.108,1.071,1.0895000000000001,1.65,1.45,-0.19999999999999996
frustrating,mario,KKZ1dszi,,AI,2.2,1.45,-0.7500000000000002,1.47,0.805,1.1375,2.2,1.45,-0.7500000000000002
frustrating,mario,RtKfCoTJ,,Human,1.85,2.4,0.5499999999999998,1.388,1.655,1.5215,1.85,2.4,0.5499999999999998
frustrating,mario,S7F69Idf,,AI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
frustrating,mario,U3v9pEvF,,AI,2.25,1.2,-1.05,1.445,0.51,0.9775,2.25,1.2,-1.05
frustrating,mario,V5XEzcZd,,Human,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
frustrating,mario,XYTl4EzV,,Human,3.25,3.15,-0.10000000000000009,1.609,1.797,1.7029999999999998,3.25,3.15,-0.10000000000000009
frustrating,mario,Xd8WtCNl,,AI,1.55,1.3,-0.25,0.921,0.781,0.851,1.55,1.3,-0.25
frustrating,mario,br59gvRp,,AI,3.9,3.85,-0.04999999999999982,1.411,1.314,1.3625,3.9,3.85,-0.04999999999999982
frustrating,mario,dwIZVZn4,,AI,3.1,2.05,-1.0500000000000003,1.841,1.627,1.734,3.1,2.05,-1.0500000000000003
frustrating,mario,fc3fEIzT,,Human,2.05,2.6,0.5500000000000003,1.627,1.772,1.6995,2.05,2.6,0.5500000000000003
frustrating,mario,gZGPAuuB,,Human,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
frustrating,mario,gngXYJwH,,AI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
frustrating,mario,ktod92pA,,Human,4.4,4.8,0.39999999999999947,1.114,0.4,0.7570000000000001,4.4,4.8,0.39999999999999947
frustrating,mario,lY6ELCJ9,,Human,1.25,1.0,-0.25,0.698,0.0,0.349,1.25,1.0,-0.25
frustrating,mario,lgoBPkQB,,AI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
frustrating,mario,mmMjssLU,,AI,1.4,1.35,-0.04999999999999982,0.917,0.792,0.8545,1.4,1.35,-0.04999999999999982
frustrating,mario,oGL3xUR2,,Human,1.15,1.0,-0.1499999999999999,0.477,0.0,0.2385,1.15,1.0,-0.1499999999999999
frustrating,mario,pY9KB33X,,Human,2.3,1.35,-0.9499999999999997,1.552,1.062,1.307,2.3,1.35,-0.9499999999999997
frustrating,mario,tMYRotFs,,Human,2.1,3.35,1.25,1.261,1.388,1.3245,2.1,3.35,1.25
frustrating,mario,ueNqeTXa,,AI,3.6,3.05,-0.5500000000000003,1.497,1.627,1.562,3.6,3.05,-0.5500000000000003
frustrating,mario,vHybWiYq,,AI,2.75,3.7,0.9500000000000002,1.867,1.308,1.5875,2.75,3.7,0.9500000000000002
frustrating,mario,x3V9NLQt,,Human,1.15,1.0,-0.1499999999999999,0.654,0.0,0.327,1.15,1.0,-0.1499999999999999
frustrating,mario,xYnV8Xi7,,AI,4.95,4.8,-0.15000000000000036,0.218,0.51,0.364,4.95,4.8,-0.15000000000000036
frustrating,mario,yAXhWaGh,,Human,4.95,5.0,0.04999999999999982,0.218,0.0,0.109,4.95,5.0,0.04999999999999982
frustrating,sokoban,2v2qgbvC,,Human,1.15,1.15,0.0,0.654,0.654,0.654,1.15,1.15,0.0
frustrating,sokoban,3xtQxBWH,,Human,2.05,1.7,-0.34999999999999987,0.74,1.054,0.897,2.05,1.7,-0.34999999999999987
frustrating,sokoban,5Au4nrI2,,Human,1.4,1.05,-0.34999999999999987,0.735,0.218,0.4765,1.4,1.05,-0.34999999999999987
frustrating,sokoban,5iXJGqnK,,AI,1.4,1.7,0.30000000000000004,0.49,0.9,0.6950000000000001,1.4,1.7,0.30000000000000004
frustrating,sokoban,73sJaNBn,,Human,1.25,1.45,0.19999999999999996,0.433,0.973,0.703,1.25,1.45,0.19999999999999996
frustrating,sokoban,79DSy6TF,,AI,2.75,1.55,-1.2,1.946,1.244,1.595,2.75,1.55,-1.2
frustrating,sokoban,7V2mu5KA,,Human,1.3,1.0,-0.30000000000000004,0.458,0.0,0.229,1.3,1.0,-0.30000000000000004
frustrating,sokoban,8Ua6YU1D,,Human,2.25,2.15,-0.10000000000000009,1.728,1.768,1.748,2.25,2.15,-0.10000000000000009
frustrating,sokoban,H77pn4iQ,,AI,1.8,1.7,-0.10000000000000009,0.678,0.714,0.696,1.8,1.7,-0.10000000000000009
frustrating,sokoban,HjLVlKx4,,Human,1.35,1.1,-0.25,0.726,0.436,0.581,1.35,1.1,-0.25
frustrating,sokoban,Iz5BqRyu,,AI,1.6,1.7,0.09999999999999987,0.583,0.954,0.7685,1.6,1.7,0.09999999999999987
frustrating,sokoban,LUiVjpMm,,AI,1.6,1.3,-0.30000000000000004,1.319,0.714,1.0165,1.6,1.3,-0.30000000000000004
frustrating,sokoban,QUT4qGl2,,Human,1.75,1.55,-0.19999999999999996,0.536,0.805,0.6705000000000001,1.75,1.55,-0.19999999999999996
frustrating,sokoban,QV6Qfb7T,,AI,1.7,1.55,-0.1499999999999999,0.9,0.74,0.8200000000000001,1.7,1.55,-0.1499999999999999
frustrating,sokoban,ROciIZDL,,Human,1.3,1.5,0.19999999999999996,0.458,1.072,0.765,1.3,1.5,0.19999999999999996
frustrating,sokoban,TIXMBKaj,,Human,1.85,1.85,0.0,0.91,1.152,1.031,1.85,1.85,0.0
frustrating,sokoban,UTSKBMio,,AI,1.5,1.15,-0.3500000000000001,0.5,0.477,0.4885,1.5,1.15,-0.3500000000000001
frustrating,sokoban,UeeTjy5b,,AI,1.2,1.0,-0.19999999999999996,0.872,0.0,0.436,1.2,1.0,-0.19999999999999996
frustrating,sokoban,Z0SxyjXq,,Human,2.3,1.3,-0.9999999999999998,1.706,0.9,1.303,2.3,1.3,-0.9999999999999998
frustrating,sokoban,aE7sjnta,,AI,2.2,1.85,-0.3500000000000001,1.568,1.526,1.5470000000000002,2.2,1.85,-0.3500000000000001
frustrating,sokoban,bhRr4CCv,,Human,2.35,1.95,-0.40000000000000013,1.152,0.973,1.0625,2.35,1.95,-0.40000000000000013
frustrating,sokoban,cHhvQJlr,,AI,1.1,1.05,-0.050000000000000044,0.436,0.218,0.327,1.1,1.05,-0.050000000000000044
frustrating,sokoban,cTxMstwv,,AI,1.4,1.2,-0.19999999999999996,0.663,0.51,0.5865,1.4,1.2,-0.19999999999999996
frustrating,sokoban,extLxWet,,AI,1.45,1.15,-0.30000000000000004,0.921,0.477,0.6990000000000001,1.45,1.15,-0.30000000000000004
frustrating,sokoban,f8sbFI0a,,Human,1.85,1.35,-0.5,0.853,0.726,0.7895,1.85,1.35,-0.5
frustrating,sokoban,iJNJxWfZ,,Human,1.7,1.3,-0.3999999999999999,0.714,0.714,0.714,1.7,1.3,-0.3999999999999999
frustrating,sokoban,ij6onaGt,,AI,1.05,1.1,0.050000000000000044,0.218,0.3,0.259,1.05,1.1,0.050000000000000044
frustrating,sokoban,oHSLE5UO,,AI,2.0,1.2,-0.8,1.643,0.678,1.1605,2.0,1.2,-0.8
frustrating,sokoban,t7mUz3Qe,,Human,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
frustrating,sokoban,wSCVt298,,AI,3.15,1.7,-1.45,1.956,1.418,1.6869999999999998,3.15,1.7,-1.45
surprising,mario,1AC82kGG,,Human,2.0,1.85,-0.1499999999999999,0.894,0.726,0.81,2.0,1.85,-0.1499999999999999
surprising,mario,4PFJlLdR,,AI,2.25,1.65,-0.6000000000000001,0.994,0.726,0.86,2.25,1.65,-0.6000000000000001
surprising,mario,4bMZDbcE,,Human,1.1,1.05,-0.050000000000000044,0.3,0.218,0.259,1.1,1.05,-0.050000000000000044
surprising,mario,8cgqvaZu,,AI,1.75,1.45,-0.30000000000000004,0.766,0.74,0.753,1.75,1.45,-0.30000000000000004
surprising,mario,9Y6J8Rb8,,AI,1.4,1.65,0.25,0.8,0.853,0.8265,1.4,1.65,0.25
surprising,mario,Jvmo5e7c,,Human,1.55,1.6,0.050000000000000044,0.589,0.583,0.586,1.55,1.6,0.050000000000000044
surprising,mario,KKZ1dszi,,AI,1.7,1.3,-0.3999999999999999,0.9,0.557,0.7285,1.7,1.3,-0.3999999999999999
surprising,mario,RtKfCoTJ,,Human,1.2,1.25,0.050000000000000044,0.4,0.536,0.468,1.2,1.25,0.050000000000000044
surprising,mario,S7F69Idf,,AI,1.2,1.35,0.15000000000000013,0.51,0.726,0.618,1.2,1.35,0.15000000000000013
surprising,mario,U3v9pEvF,,AI,2.2,1.95,-0.2500000000000002,0.98,0.865,0.9225,2.2,1.95,-0.2500000000000002
surprising,mario,V5XEzcZd,,Human,1.05,1.5,0.44999999999999996,0.218,0.806,0.512,1.05,1.5,0.44999999999999996
surprising,mario,XYTl4EzV,,Human,1.65,1.85,0.20000000000000018,0.963,1.014,0.9884999999999999,1.65,1.85,0.20000000000000018
surprising,mario,Xd8WtCNl,,AI,2.0,1.95,-0.050000000000000044,0.548,0.669,0.6085,2.0,1.95,-0.050000000000000044
surprising,mario,br59gvRp,,AI,2.3,2.05,-0.25,1.418,1.396,1.407,2.3,2.05,-0.25
surprising,mario,dwIZVZn4,,AI,2.2,1.6,-0.6000000000000001,1.208,0.97,1.089,2.2,1.6,-0.6000000000000001
surprising,mario,fc3fEIzT,,Human,1.7,1.75,0.050000000000000044,1.1,1.09,1.0950000000000002,1.7,1.75,0.050000000000000044
surprising,mario,gZGPAuuB,,Human,1.05,1.1,0.050000000000000044,0.218,0.3,0.259,1.05,1.1,0.050000000000000044
surprising,mario,gngXYJwH,,AI,2.8,2.85,0.050000000000000266,0.927,0.792,0.8595,2.8,2.85,0.050000000000000266
surprising,mario,ktod92pA,,Human,2.85,2.65,-0.20000000000000018,1.236,1.314,1.275,2.85,2.65,-0.20000000000000018
surprising,mario,lY6ELCJ9,,Human,1.7,2.1,0.40000000000000013,0.714,0.768,0.741,1.7,2.1,0.40000000000000013
surprising,mario,lgoBPkQB,,AI,1.8,2.2,0.40000000000000013,0.872,0.678,0.775,1.8,2.2,0.40000000000000013
surprising,mario,mmMjssLU,,AI,1.9,1.4,-0.5,1.136,0.583,0.8594999999999999,1.9,1.4,-0.5
surprising,mario,oGL3xUR2,,Human,2.15,1.2,-0.95,1.314,0.51,0.912,2.15,1.2,-0.95
surprising,mario,pY9KB33X,,Human,1.55,1.3,-0.25,0.74,0.458,0.599,1.55,1.3,-0.25
surprising,mario,tMYRotFs,,Human,1.35,1.6,0.25,0.792,0.583,0.6875,1.35,1.6,0.25
surprising,mario,ueNqeTXa,,AI,2.2,2.0,-0.20000000000000018,1.077,0.894,0.9855,2.2,2.0,-0.20000000000000018
surprising,mario,vHybWiYq,,AI,2.45,1.85,-0.6000000000000001,1.359,0.963,1.161,2.45,1.85,-0.6000000000000001
