map_index,map_id,status,map_path,video_path,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,enjoyment,enjoyment_std,difficulty,difficulty_std,frustration,frustration_std,novelty,novelty_std,aesthetics,aesthetics_std,error
17,UTSKBMio,ok,outputs\procedural_sokoban_v2_blind\UTSKBMio.txt,results\v1.3\procedural_sokoban\UTSKBMio.mp4,20,20,,,,,3.150,0.910,1.700,0.781,1.100,0.300,1.500,0.500,3.300,0.714,
18,LUiVjpMm,ok,outputs\procedural_sokoban_v2_blind\LUiVjpMm.txt,results\v1.3\procedural_sokoban\LUiVjpMm.mp4,20,20,,,,,2.111,0.875,2.222,1.181,1.611,0.951,1.444,0.497,3.053,0.887,
19,cHhvQJlr,ok,outputs\procedural_sokoban_v2_blind\cHhvQJlr.txt,results\v1.3\procedural_sokoban\cHhvQJlr.mp4,20,20,,,,,3.150,0.572,1.700,0.458,1.000,0.000,1.400,0.490,3.050,0.740,
20,cTxMstwv,ok,outputs\procedural_sokoban_v2_blind\cTxMstwv.txt,results\v1.3\procedural_sokoban\cTxMstwv.mp4,20,20,,,,,3.050,1.071,2.053,0.887,1.100,0.300,1.650,0.654,3.700,0.714,
21,ij6onaGt,ok,outputs\procedural_sokoban_v2_blind\ij6onaGt.txt,results\v1.3\procedural_sokoban\ij6onaGt.mp4,20,20,,,,,3.300,0.714,2.050,0.669,1.000,0.000,1.500,0.500,3.100,0.624,
22,5iXJGqnK,ok,outputs\procedural_sokoban_v2_blind\5iXJGqnK.txt,results\v1.3\procedural_sokoban\5iXJGqnK.mp4,20,20,,,,,3.400,0.663,2.150,0.654,1.000,0.000,1.750,0.536,3.000,0.447,
23,H77pn4iQ,ok,outputs\procedural_sokoban_v2_blind\H77pn4iQ.txt,results\v1.3\procedural_sokoban\H77pn4iQ.mp4,20,20,,,,,3.500,0.500,2.550,0.669,1.150,0.357,1.950,0.497,3.500,0.500,
24,Iz5BqRyu,ok,outputs\procedural_sokoban_v2_blind\Iz5BqRyu.txt,results\v1.3\procedural_sokoban\Iz5BqRyu.mp4,20,20,,,,,3.300,0.557,2.150,0.726,1.150,0.357,1.450,0.497,3.000,0.548,
25,QV6Qfb7T,ok,outputs\procedural_sokoban_v2_blind\QV6Qfb7T.txt,results\v1.3\procedural_sokoban\QV6Qfb7T.mp4,20,20,,,,,3.700,0.458,2.700,0.557,1.300,0.458,1.950,0.589,3.550,0.589,
26,UeeTjy5b,ok,outputs\procedural_sokoban_v2_blind\UeeTjy5b.txt,results\v1.3\procedural_sokoban\UeeTjy5b.mp4,20,20,,,,,1.600,0.490,1.000,0.000,1.000,0.000,1.000,0.000,2.700,0.458,
27,oHSLE5UO,ok,outputs\procedural_sokoban_v2_blind\oHSLE5UO.txt,results\v1.3\procedural_sokoban\oHSLE5UO.mp4,20,20,,,,,2.050,0.740,1.100,0.300,1.000,0.000,1.250,0.698,2.650,0.572,
28,79DSy6TF,ok,outputs\procedural_sokoban_v2_blind\79DSy6TF.txt,results\v1.3\procedural_sokoban\79DSy6TF.mp4,20,20,,,,,2.000,0.632,1.400,0.663,1.600,1.200,1.400,0.583,2.850,0.477,
29,aE7sjnta,ok,outputs\procedural_sokoban_v2_blind\aE7sjnta.txt,results\v1.3\procedural_sokoban\aE7sjnta.mp4,20,20,,,,,2.400,0.583,1.050,0.218,1.000,0.000,1.150,0.357,2.700,0.557,
30,wSCVt298,ok,outputs\procedural_sokoban_v2_blind\wSCVt298.txt,results\v1.3\procedural_sokoban\wSCVt298.mp4,20,20,,,,,2.250,0.622,1.000,0.000,1.000,0.000,1.050,0.218,2.800,0.400,
