map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
18,LUiVjpMm,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\LUiVjpMm.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\LUiVjpMm.mp4,1.000,1.000,20,20,,,,,1.850,0.963,1.150,0.477,1.600,1.319,1.550,1.322,2.000,1.095,
19,cHhvQJlr,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\cHhvQJlr.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\cHhvQJlr.mp4,1.000,1.000,20,20,,,,,2.650,0.726,1.450,0.497,1.100,0.436,1.100,0.300,2.250,0.622,
20,cTxMstwv,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\cTxMstwv.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\cTxMstwv.mp4,1.000,1.000,20,20,,,,,3.300,0.781,2.000,0.775,1.400,0.663,1.300,0.458,3.150,0.910,
21,ij6onaGt,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\ij6onaGt.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\ij6onaGt.mp4,1.000,1.000,20,20,,,,,3.550,0.497,2.050,0.669,1.050,0.218,1.300,0.714,3.250,0.942,
22,5iXJGqnK,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\5iXJGqnK.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\5iXJGqnK.mp4,1.000,1.000,20,20,,,,,3.500,0.671,2.600,0.917,1.400,0.490,1.400,0.490,3.450,0.805,
23,H77pn4iQ,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\H77pn4iQ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\H77pn4iQ.mp4,1.000,1.000,20,20,,,,,3.850,0.357,3.450,0.497,1.800,0.678,1.750,0.536,3.900,0.300,
24,Iz5BqRyu,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\Iz5BqRyu.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\Iz5BqRyu.mp4,1.000,1.000,20,20,,,,,3.450,0.589,2.750,0.829,1.600,0.583,1.450,0.589,3.400,0.663,
25,QV6Qfb7T,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\QV6Qfb7T.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\QV6Qfb7T.mp4,1.000,1.000,20,20,,,,,3.700,0.640,2.850,0.853,1.700,0.900,1.600,0.735,3.600,0.800,
26,UeeTjy5b,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\UeeTjy5b.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\UeeTjy5b.mp4,1.000,1.000,20,20,,,,,1.850,0.853,1.050,0.218,1.200,0.872,1.100,0.436,1.700,0.714,
27,oHSLE5UO,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\oHSLE5UO.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\oHSLE5UO.mp4,1.000,1.000,20,20,,,,,1.850,0.792,1.050,0.218,2.000,1.643,1.050,0.218,1.650,0.654,
28,79DSy6TF,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\79DSy6TF.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\79DSy6TF.mp4,1.000,1.000,20,20,,,,,1.350,0.654,1.150,0.654,2.750,1.946,1.150,0.477,1.300,0.458,
29,aE7sjnta,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\aE7sjnta.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\aE7sjnta.mp4,1.000,1.000,20,20,,,,,2.500,1.072,1.400,0.583,2.200,1.568,1.250,0.622,2.250,1.043,
30,wSCVt298,ok,forced_creator,AI,Human,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\human\wSCVt298.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\wSCVt298.mp4,1.000,1.000,20,20,,,,,1.450,0.865,1.050,0.218,3.150,1.956,1.000,0.000,1.350,0.654,
