game,map_id,true_creator,metric,forced_human,forced_ai,delta_human_minus_ai
mario,1AC82kGG,Human,,3.100000,2.550000,0.550000
mario,4PFJlLdR,AI,,2.700000,2.150000,0.550000
mario,4bMZDbcE,Human,,2.000000,1.400000,0.600000
mario,8cgqvaZu,AI,,2.850000,2.300000,0.550000
mario,9Y6J8Rb8,AI,,1.950000,2.650000,-0.700000
mario,Jvmo5e7c,Human,,2.650000,1.800000,0.850000
mario,KKZ1dszi,AI,,2.500000,2.250000,0.250000
mario,RtKfCoTJ,Human,,1.600000,1.400000,0.200000
mario,S7F69Idf,AI,,1.450000,1.400000,0.050000
mario,U3v9pEvF,AI,,2.750000,1.950000,0.800000
mario,V5XEzcZd,Human,,1.350000,1.400000,-0.050000
mario,XYTl4EzV,Human,,1.100000,1.100000,0.000000
mario,Xd8WtCNl,AI,,2.550000,2.650000,-0.100000
mario,br59gvRp,AI,,2.750000,2.250000,0.500000
mario,dwIZVZn4,AI,,2.600000,1.800000,0.800000
mario,fc3fEIzT,Human,,1.200000,1.550000,-0.350000
mario,gZGPAuuB,Human,,1.250000,1.300000,-0.050000
mario,gngXYJwH,AI,,2.150000,1.800000,0.350000
mario,ktod92pA,Human,,3.150000,2.650000,0.500000
mario,lY6ELCJ9,Human,,2.250000,2.150000,0.100000
mario,lgoBPkQB,AI,,1.150000,1.150000,0.000000
mario,mmMjssLU,AI,,1.400000,1.300000,0.100000
mario,oGL3xUR2,Human,,1.050000,1.000000,0.050000
mario,pY9KB33X,Human,,2.100000,1.550000,0.550000
mario,tMYRotFs,Human,,1.900000,1.850000,0.050000
mario,ueNqeTXa,AI,,3.100000,2.500000,0.600000
mario,vHybWiYq,AI,,2.400000,2.400000,0.000000
mario,x3V9NLQt,Human,,1.450000,1.200000,0.250000
mario,xYnV8Xi7,AI,,2.200000,3.000000,-0.800000
mario,yAXhWaGh,Human,,2.250000,1.500000,0.750000
sokoban,2v2qgbvC,Human,,1.100000,1.050000,0.050000
sokoban,3xtQxBWH,Human,,3.100000,2.300000,0.800000
sokoban,5Au4nrI2,Human,,1.950000,1.800000,0.150000
sokoban,5iXJGqnK,AI,,2.600000,2.400000,0.200000
sokoban,73sJaNBn,Human,,2.000000,1.600000,0.400000
sokoban,79DSy6TF,AI,,1.150000,1.150000,0.000000
sokoban,7V2mu5KA,Human,,2.350000,1.450000,0.900000
sokoban,8Ua6YU1D,Human,,1.450000,1.100000,0.350000
sokoban,H77pn4iQ,AI,,3.450000,2.750000,0.700000
sokoban,HjLVlKx4,Human,,2.000000,1.350000,0.650000
sokoban,Iz5BqRyu,AI,,2.750000,2.300000,0.450000
sokoban,LUiVjpMm,AI,,1.150000,1.350000,-0.200000
sokoban,QUT4qGl2,Human,,2.850000,2.400000,0.450000
sokoban,QV6Qfb7T,AI,,2.850000,2.350000,0.500000
sokoban,ROciIZDL,Human,,2.250000,2.350000,-0.100000
sokoban,TIXMBKaj,Human,,2.850000,2.250000,0.600000
sokoban,UTSKBMio,AI,,2.350000,1.550000,0.800000
sokoban,UeeTjy5b,AI,,1.050000,1.050000,0.000000
sokoban,Z0SxyjXq,Human,,1.550000,1.600000,-0.050000
sokoban,aE7sjnta,AI,,1.400000,1.100000,0.300000
sokoban,bhRr4CCv,Human,,3.200000,2.950000,0.250000
sokoban,cHhvQJlr,AI,,1.450000,1.450000,0.000000
sokoban,cTxMstwv,AI,,2.000000,1.650000,0.350000
sokoban,extLxWet,AI,,1.950000,1.500000,0.450000
sokoban,f8sbFI0a,Human,,2.400000,2.000000,0.400000
sokoban,iJNJxWfZ,Human,,2.750000,1.950000,0.800000
sokoban,ij6onaGt,AI,,2.050000,2.100000,-0.050000
sokoban,oHSLE5UO,AI,,1.050000,1.000000,0.050000
sokoban,t7mUz3Qe,Human,,1.050000,1.000000,0.050000
sokoban,wSCVt298,AI,,1.050000,1.000000,0.050000
mario,1AC82kGG,Human,,1.250000,1.400000,-0.150000
mario,4PFJlLdR,AI,,1.500000,2.350000,-0.850000
mario,4bMZDbcE,Human,,1.600000,1.400000,0.200000
mario,8cgqvaZu,AI,,2.250000,1.600000,0.650000
mario,9Y6J8Rb8,AI,,3.300000,2.550000,0.750000
mario,Jvmo5e7c,Human,,1.650000,1.450000,0.200000
mario,KKZ1dszi,AI,,2.200000,1.450000,0.750000
mario,RtKfCoTJ,Human,,1.850000,2.400000,-0.550000
mario,S7F69Idf,AI,,1.000000,1.000000,0.000000
mario,U3v9pEvF,AI,,2.250000,1.200000,1.050000
mario,V5XEzcZd,Human,,1.000000,1.000000,0.000000
mario,XYTl4EzV,Human,,3.250000,3.150000,0.100000
mario,Xd8WtCNl,AI,,1.550000,1.300000,0.250000
mario,br59gvRp,AI,,3.900000,3.850000,0.050000
mario,dwIZVZn4,AI,,3.100000,2.050000,1.050000
mario,fc3fEIzT,Human,,2.050000,2.600000,-0.550000
mario,gZGPAuuB,Human,,1.000000,1.000000,0.000000
mario,gngXYJwH,AI,,1.000000,1.000000,0.000000
mario,ktod92pA,Human,,4.400000,4.800000,-0.400000
mario,lY6ELCJ9,Human,,1.250000,1.000000,0.250000
mario,lgoBPkQB,AI,,1.000000,1.000000,0.000000
mario,mmMjssLU,AI,,1.400000,1.350000,0.050000
mario,oGL3xUR2,Human,,1.150000,1.000000,0.150000
mario,pY9KB33X,Human,,2.300000,1.350000,0.950000
mario,tMYRotFs,Human,,2.100000,3.350000,-1.250000
mario,ueNqeTXa,AI,,3.600000,3.050000,0.550000
mario,vHybWiYq,AI,,2.750000,3.700000,-0.950000
mario,x3V9NLQt,Human,,1.150000,1.000000,0.150000
mario,xYnV8Xi7,AI,,4.950000,4.800000,0.150000
mario,yAXhWaGh,Human,,4.950000,5.000000,-0.050000
sokoban,2v2qgbvC,Human,,1.150000,1.150000,0.000000
sokoban,3xtQxBWH,Human,,2.050000,1.700000,0.350000
sokoban,5Au4nrI2,Human,,1.400000,1.050000,0.350000
sokoban,5iXJGqnK,AI,,1.400000,1.700000,-0.300000
sokoban,73sJaNBn,Human,,1.250000,1.450000,-0.200000
sokoban,79DSy6TF,AI,,2.750000,1.550000,1.200000
sokoban,7V2mu5KA,Human,,1.300000,1.000000,0.300000
sokoban,8Ua6YU1D,Human,,2.250000,2.150000,0.100000
sokoban,H77pn4iQ,AI,,1.800000,1.700000,0.100000
sokoban,HjLVlKx4,Human,,1.350000,1.100000,0.250000
sokoban,Iz5BqRyu,AI,,1.600000,1.700000,-0.100000
sokoban,LUiVjpMm,AI,,1.600000,1.300000,0.300000
sokoban,QUT4qGl2,Human,,1.750000,1.550000,0.200000
sokoban,QV6Qfb7T,AI,,1.700000,1.550000,0.150000
sokoban,ROciIZDL,Human,,1.300000,1.500000,-0.200000
sokoban,TIXMBKaj,Human,,1.850000,1.850000,0.000000
sokoban,UTSKBMio,AI,,1.500000,1.150000,0.350000
sokoban,UeeTjy5b,AI,,1.200000,1.000000,0.200000
sokoban,Z0SxyjXq,Human,,2.300000,1.300000,1.000000
sokoban,aE7sjnta,AI,,2.200000,1.850000,0.350000
sokoban,bhRr4CCv,Human,,2.350000,1.950000,0.400000
sokoban,cHhvQJlr,AI,,1.100000,1.050000,0.050000
sokoban,cTxMstwv,AI,,1.400000,1.200000,0.200000
sokoban,extLxWet,AI,,1.450000,1.150000,0.300000
sokoban,f8sbFI0a,Human,,1.850000,1.350000,0.500000
sokoban,iJNJxWfZ,Human,,1.700000,1.300000,0.400000
sokoban,ij6onaGt,AI,,1.050000,1.100000,-0.050000
sokoban,oHSLE5UO,AI,,2.000000,1.200000,0.800000
sokoban,t7mUz3Qe,Human,,1.000000,1.000000,0.000000
sokoban,wSCVt298,AI,,3.150000,1.700000,1.450000
mario,1AC82kGG,Human,,2.000000,1.850000,0.150000
mario,4PFJlLdR,AI,,2.250000,1.650000,0.600000
mario,4bMZDbcE,Human,,1.100000,1.050000,0.050000
mario,8cgqvaZu,AI,,1.750000,1.450000,0.300000
mario,9Y6J8Rb8,AI,,1.400000,1.650000,-0.250000
mario,Jvmo5e7c,Human,,1.550000,1.600000,-0.050000
mario,KKZ1dszi,AI,,1.700000,1.300000,0.400000
mario,RtKfCoTJ,Human,,1.200000,1.250000,-0.050000
mario,S7F69Idf,AI,,1.200000,1.350000,-0.150000
mario,U3v9pEvF,AI,,2.200000,1.950000,0.250000
mario,V5XEzcZd,Human,,1.050000,1.500000,-0.450000
mario,XYTl4EzV,Human,,1.650000,1.850000,-0.200000
mario,Xd8WtCNl,AI,,2.000000,1.950000,0.050000
mario,br59gvRp,AI,,2.300000,2.050000,0.250000
mario,dwIZVZn4,AI,,2.200000,1.600000,0.600000
mario,fc3fEIzT,Human,,1.700000,1.750000,-0.050000
mario,gZGPAuuB,Human,,1.050000,1.100000,-0.050000
mario,gngXYJwH,AI,,2.800000,2.850000,-0.050000
mario,ktod92pA,Human,,2.850000,2.650000,0.200000
mario,lY6ELCJ9,Human,,1.700000,2.100000,-0.400000
mario,lgoBPkQB,AI,,1.800000,2.200000,-0.400000
mario,mmMjssLU,AI,,1.900000,1.400000,0.500000
mario,oGL3xUR2,Human,,2.150000,1.200000,0.950000
mario,pY9KB33X,Human,,1.550000,1.300000,0.250000
mario,tMYRotFs,Human,,1.350000,1.600000,-0.250000
mario,ueNqeTXa,AI,,2.200000,2.000000,0.200000
mario,vHybWiYq,AI,,2.450000,1.850000,0.600000
mario,x3V9NLQt,Human,,1.000000,1.050000,-0.050000
mario,xYnV8Xi7,AI,,1.750000,1.550000,0.200000
mario,yAXhWaGh,Human,,2.400000,2.300000,0.100000
sokoban,2v2qgbvC,Human,,1.000000,1.000000,0.000000
sokoban,3xtQxBWH,Human,,1.750000,1.150000,0.600000
sokoban,5Au4nrI2,Human,,1.100000,1.050000,0.050000
sokoban,5iXJGqnK,AI,,1.400000,1.250000,0.150000
sokoban,73sJaNBn,Human,,1.350000,1.050000,0.300000
sokoban,79DSy6TF,AI,,1.150000,1.050000,0.100000
sokoban,7V2mu5KA,Human,,1.450000,1.050000,0.400000
sokoban,8Ua6YU1D,Human,,1.400000,1.050000,0.350000
sokoban,H77pn4iQ,AI,,1.750000,1.400000,0.350000
sokoban,HjLVlKx4,Human,,1.150000,1.000000,0.150000
sokoban,Iz5BqRyu,AI,,1.450000,1.100000,0.350000
sokoban,LUiVjpMm,AI,,1.550000,1.000000,0.550000
sokoban,QUT4qGl2,Human,,1.500000,1.300000,0.200000
sokoban,QV6Qfb7T,AI,,1.600000,1.200000,0.400000
sokoban,ROciIZDL,Human,,1.200000,1.300000,-0.100000
sokoban,TIXMBKaj,Human,,1.250000,1.150000,0.100000
sokoban,UTSKBMio,AI,,1.500000,1.000000,0.500000
sokoban,UeeTjy5b,AI,,1.100000,1.150000,-0.050000
sokoban,Z0SxyjXq,Human,,1.250000,1.300000,-0.050000
sokoban,aE7sjnta,AI,,1.250000,1.050000,0.200000
sokoban,bhRr4CCv,Human,,1.600000,1.350000,0.250000
sokoban,cHhvQJlr,AI,,1.100000,1.100000,0.000000
sokoban,cTxMstwv,AI,,1.300000,1.200000,0.100000
sokoban,extLxWet,AI,,1.150000,1.150000,0.000000
sokoban,f8sbFI0a,Human,,1.150000,1.300000,-0.150000
sokoban,iJNJxWfZ,Human,,1.550000,1.250000,0.300000
sokoban,ij6onaGt,AI,,1.300000,1.200000,0.100000
sokoban,oHSLE5UO,AI,,1.050000,1.000000,0.050000
sokoban,t7mUz3Qe,Human,,1.000000,1.000000,0.000000
sokoban,wSCVt298,AI,,1.000000,1.000000,0.000000
mario,1AC82kGG,Human,,3.350000,2.450000,0.900000
mario,4PFJlLdR,AI,,3.400000,1.900000,1.500000
mario,4bMZDbcE,Human,,1.700000,1.500000,0.200000
mario,8cgqvaZu,AI,,2.450000,2.250000,0.200000
mario,9Y6J8Rb8,AI,,1.150000,1.800000,-0.650000
mario,Jvmo5e7c,Human,,2.950000,2.350000,0.600000
mario,KKZ1dszi,AI,,1.800000,1.750000,0.050000
mario,RtKfCoTJ,Human,,1.350000,1.150000,0.200000
mario,S7F69Idf,AI,,2.150000,1.800000,0.350000
mario,U3v9pEvF,AI,,2.250000,1.950000,0.300000
mario,V5XEzcZd,Human,,1.750000,2.300000,-0.550000
mario,XYTl4EzV,Human,,1.000000,1.000000,0.000000
mario,Xd8WtCNl,AI,,2.600000,2.400000,0.200000
mario,br59gvRp,AI,,1.100000,1.000000,0.100000
mario,dwIZVZn4,AI,,1.700000,1.450000,0.250000
mario,fc3fEIzT,Human,,1.400000,1.200000,0.200000
mario,gZGPAuuB,Human,,2.550000,2.250000,0.300000
mario,gngXYJwH,AI,,3.200000,2.700000,0.500000
mario,ktod92pA,Human,,1.350000,1.050000,0.300000
mario,lY6ELCJ9,Human,,2.150000,2.250000,-0.100000
mario,lgoBPkQB,AI,,2.350000,1.800000,0.550000
mario,mmMjssLU,AI,,1.850000,1.600000,0.250000
mario,oGL3xUR2,Human,,1.300000,1.150000,0.150000
mario,pY9KB33X,Human,,1.850000,1.850000,0.000000
mario,tMYRotFs,Human,,1.600000,1.050000,0.550000
mario,ueNqeTXa,AI,,1.250000,1.300000,-0.050000
mario,vHybWiYq,AI,,1.800000,1.100000,0.700000
mario,x3V9NLQt,Human,,2.150000,2.000000,0.150000
mario,xYnV8Xi7,AI,,1.000000,1.000000,0.000000
mario,yAXhWaGh,Human,,1.000000,1.000000,0.000000
sokoban,2v2qgbvC,Human,,1.600000,1.200000,0.400000
sokoban,3xtQxBWH,Human,,3.750000,2.850000,0.900000
sokoban,5Au4nrI2,Human,,2.800000,2.350000,0.450000
sokoban,5iXJGqnK,AI,,3.450000,2.800000,0.650000
sokoban,73sJaNBn,Human,,2.850000,2.000000,0.850000
sokoban,79DSy6TF,AI,,1.300000,1.450000,-0.150000
sokoban,7V2mu5KA,Human,,3.350000,2.100000,1.250000
sokoban,8Ua6YU1D,Human,,2.100000,1.350000,0.750000
sokoban,H77pn4iQ,AI,,3.900000,3.100000,0.800000
sokoban,HjLVlKx4,Human,,2.550000,1.750000,0.800000
sokoban,Iz5BqRyu,AI,,3.400000,2.700000,0.700000
sokoban,LUiVjpMm,AI,,2.000000,1.450000,0.550000
sokoban,QUT4qGl2,Human,,3.600000,2.950000,0.650000
sokoban,QV6Qfb7T,AI,,3.600000,2.750000,0.850000
sokoban,ROciIZDL,Human,,3.300000,2.900000,0.400000
sokoban,TIXMBKaj,Human,,3.050000,2.700000,0.350000
sokoban,UTSKBMio,AI,,3.200000,2.200000,1.000000
sokoban,UeeTjy5b,AI,,1.700000,1.300000,0.400000
sokoban,Z0SxyjXq,Human,,2.100000,2.100000,0.000000
sokoban,aE7sjnta,AI,,2.250000,1.100000,1.150000
sokoban,bhRr4CCv,Human,,3.450000,3.150000,0.300000
sokoban,cHhvQJlr,AI,,2.250000,2.000000,0.250000
sokoban,cTxMstwv,AI,,3.150000,2.300000,0.850000
sokoban,extLxWet,AI,,2.500000,2.050000,0.450000
sokoban,f8sbFI0a,Human,,3.200000,2.650000,0.550000
sokoban,iJNJxWfZ,Human,,3.450000,2.950000,0.500000
sokoban,ij6onaGt,AI,,3.250000,2.600000,0.650000
sokoban,oHSLE5UO,AI,,1.650000,1.200000,0.450000
sokoban,t7mUz3Qe,Human,,1.800000,1.300000,0.500000
sokoban,wSCVt298,AI,,1.350000,1.250000,0.100000
