map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
13,tMYRotFs,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\tMYRotFs.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\tMYRotFs.mp4,1.000,1.000,20,20,,,,,1.350,0.572,1.850,0.654,3.350,1.388,1.600,0.583,1.050,0.218,
14,yAXhWaGh,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\yAXhWaGh.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\yAXhWaGh.mp4,1.000,1.000,20,20,,,,,1.050,0.218,1.500,0.742,5.000,0.000,2.300,0.843,1.000,0.000,
15,4bMZDbcE,ok,forced_creator,Human,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\4bMZDbcE.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\4bMZDbcE.mp4,1.000,1.000,20,20,,,,,1.950,0.921,1.400,0.583,1.400,1.068,1.050,0.218,1.500,0.742,
16,lgoBPkQB,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\lgoBPkQB.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\lgoBPkQB.mp4,1.000,1.000,20,20,,,,,2.100,0.624,1.150,0.357,1.000,0.000,2.200,0.678,1.800,0.600,
17,xYnV8Xi7,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\xYnV8Xi7.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\xYnV8Xi7.mp4,1.000,1.000,20,20,,,,,1.000,0.000,3.000,1.817,4.800,0.510,1.550,0.921,1.000,0.000,
18,U3v9pEvF,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\U3v9pEvF.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\U3v9pEvF.mp4,1.000,1.000,20,20,,,,,2.350,1.062,1.950,0.589,1.200,0.510,1.950,0.865,1.950,1.023,
19,S7F69Idf,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\S7F69Idf.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\S7F69Idf.mp4,1.000,1.000,20,20,,,,,2.450,0.669,1.400,0.490,1.000,0.000,1.350,0.726,1.800,0.400,
20,mmMjssLU,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\mmMjssLU.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\mmMjssLU.mp4,1.000,1.000,20,20,,,,,1.850,0.792,1.300,0.557,1.350,0.792,1.400,0.583,1.600,0.583,
21,Xd8WtCNl,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\Xd8WtCNl.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\Xd8WtCNl.mp4,1.000,1.000,20,20,,,,,3.100,0.700,2.650,0.792,1.300,0.781,1.950,0.669,2.400,0.970,
22,9Y6J8Rb8,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\9Y6J8Rb8.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\9Y6J8Rb8.mp4,1.000,1.000,20,20,,,,,2.300,0.954,2.650,1.276,2.550,1.687,1.650,0.853,1.800,0.812,
23,gngXYJwH,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\gngXYJwH.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\gngXYJwH.mp4,1.000,1.000,20,20,,,,,3.300,0.843,1.800,0.678,1.000,0.000,2.850,0.792,2.700,0.781,
24,KKZ1dszi,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\KKZ1dszi.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\KKZ1dszi.mp4,1.000,1.000,20,20,,,,,2.450,0.865,2.250,0.622,1.450,0.805,1.300,0.557,1.750,0.698,
25,vHybWiYq,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\vHybWiYq.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\vHybWiYq.mp4,1.000,1.000,20,20,,,,,1.300,0.640,2.400,1.068,3.700,1.308,1.850,0.963,1.100,0.300,
26,4PFJlLdR,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\4PFJlLdR.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\4PFJlLdR.mp4,1.000,1.000,20,20,,,,,2.650,0.910,2.150,0.853,2.350,1.526,1.650,0.726,1.900,0.889,
27,dwIZVZn4,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\dwIZVZn4.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\dwIZVZn4.mp4,1.000,1.000,20,20,,,,,1.900,0.700,1.800,0.872,2.050,1.627,1.600,0.970,1.450,0.589,
28,ueNqeTXa,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\ueNqeTXa.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\ueNqeTXa.mp4,1.000,1.000,20,20,,,,,1.550,0.740,2.500,1.118,3.050,1.627,2.000,0.894,1.300,0.458,
29,br59gvRp,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\br59gvRp.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\br59gvRp.mp4,1.000,1.000,20,20,,,,,1.150,0.357,2.250,1.043,3.850,1.314,2.050,1.396,1.000,0.000,
30,8cgqvaZu,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\mario\ai\8cgqvaZu.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\mario\8cgqvaZu.mp4,1.000,1.000,20,20,,,,,3.000,0.632,2.300,0.954,1.600,1.200,1.450,0.740,2.250,0.766,
