map_index,map_id,status,experiment,true_creator,forced_creator,evaluation_steps_in_prompt,map_path,video_path,temperature,top_p,num_runs,num_parsed,creator_belief,creator_belief_votes,confidence_level,reasoning_for_creator_belief,fun,fun_std,challenging,challenging_std,frustrating,frustrating_std,surprising,surprising_std,design,design_std,error
16,extLxWet,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\extLxWet.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\extLxWet.mp4,1.000,1.000,20,20,,,,,2.300,0.714,1.500,0.671,1.150,0.477,1.150,0.477,2.050,0.669,
17,UTSKBMio,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\UTSKBMio.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\UTSKBMio.mp4,1.000,1.000,20,20,,,,,2.550,0.497,1.550,0.589,1.150,0.477,1.000,0.000,2.200,0.400,
18,LUiVjpMm,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\LUiVjpMm.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\LUiVjpMm.mp4,1.000,1.000,20,20,,,,,1.750,0.829,1.350,0.572,1.300,0.714,1.000,0.000,1.450,0.589,
19,cHhvQJlr,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\cHhvQJlr.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\cHhvQJlr.mp4,1.000,1.000,20,20,,,,,2.350,0.910,1.450,0.589,1.050,0.218,1.100,0.300,2.000,0.837,
20,cTxMstwv,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\cTxMstwv.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\cTxMstwv.mp4,1.000,1.000,20,20,,,,,2.800,0.748,1.650,0.654,1.200,0.510,1.200,0.678,2.300,0.781,
21,ij6onaGt,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\ij6onaGt.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\ij6onaGt.mp4,1.000,1.000,20,20,,,,,3.100,0.624,2.100,0.768,1.100,0.300,1.200,0.400,2.600,0.800,
22,5iXJGqnK,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\5iXJGqnK.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\5iXJGqnK.mp4,1.000,1.000,20,20,,,,,3.150,0.726,2.400,1.020,1.700,0.900,1.250,0.433,2.800,0.872,
23,H77pn4iQ,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\H77pn4iQ.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\H77pn4iQ.mp4,1.000,1.000,20,20,,,,,3.450,0.589,2.750,0.887,1.700,0.714,1.400,0.583,3.100,0.768,
24,Iz5BqRyu,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\Iz5BqRyu.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\Iz5BqRyu.mp4,1.000,1.000,20,20,,,,,2.900,0.768,2.300,0.843,1.700,0.954,1.100,0.300,2.700,0.714,
25,QV6Qfb7T,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\QV6Qfb7T.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\QV6Qfb7T.mp4,1.000,1.000,20,20,,,,,3.100,0.436,2.350,0.477,1.550,0.740,1.200,0.510,2.750,0.622,
26,UeeTjy5b,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\UeeTjy5b.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\UeeTjy5b.mp4,1.000,1.000,20,20,,,,,1.500,0.866,1.050,0.218,1.000,0.000,1.150,0.654,1.300,0.714,
27,oHSLE5UO,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\oHSLE5UO.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\oHSLE5UO.mp4,1.000,1.000,20,20,,,,,1.650,0.654,1.000,0.000,1.200,0.678,1.000,0.000,1.200,0.400,
28,79DSy6TF,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\79DSy6TF.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\79DSy6TF.mp4,1.000,1.000,20,20,,,,,1.800,0.812,1.150,0.357,1.550,1.244,1.050,0.218,1.450,0.589,
29,aE7sjnta,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\aE7sjnta.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\aE7sjnta.mp4,1.000,1.000,20,20,,,,,1.250,0.622,1.100,0.436,1.850,1.526,1.050,0.218,1.100,0.300,
30,wSCVt298,ok,forced_creator,AI,AI,True,C:\Users\6000\Projects\AgentX\tutorial\outputs\procedural_experiments\03_forced_creator\sokoban\ai\wSCVt298.txt,C:\Users\6000\Projects\AgentX\tutorial\outputs\video\sokoban\wSCVt298.mp4,1.000,1.000,20,20,,,,,1.700,0.714,1.000,0.000,1.700,1.418,1.000,0.000,1.250,0.433,
