game,map_id,true_creator,forced_condition,experiment1_belief,fun,challenging,frustrating,surprising,design
sokoban,TIXMBKaj,Human,AI,Human,3.0,2.25,1.85,1.15,2.7
sokoban,Z0SxyjXq,Human,AI,Human,2.6,1.6,1.3,1.3,2.1
sokoban,ROciIZDL,Human,AI,AI,3.05,2.35,1.5,1.3,2.9
sokoban,2v2qgbvC,Human,AI,AI,1.55,1.05,1.15,1.0,1.2
sokoban,73sJaNBn,Human,AI,Human,2.35,1.6,1.45,1.05,2.0
sokoban,f8sbFI0a,Human,AI,Human,2.85,2.0,1.35,1.3,2.65
sokoban,extLxWet,AI,AI,AI,2.3,1.5,1.15,1.15,2.05
sokoban,UTSKBMio,AI,AI,Human,2.55,1.55,1.15,1.0,2.2
sokoban,LUiVjpMm,AI,AI,AI,1.75,1.35,1.3,1.0,1.45
sokoban,cHhvQJlr,AI,AI,Human,2.35,1.45,1.05,1.1,2.0
sokoban,cTxMstwv,AI,AI,Human,2.8,1.65,1.2,1.2,2.3
sokoban,ij6onaGt,AI,AI,AI,3.1,2.1,1.1,1.2,2.6
sokoban,5iXJGqnK,AI,AI,Human,3.15,2.4,1.7,1.25,2.8
sokoban,H77pn4iQ,AI,AI,Human,3.45,2.75,1.7,1.4,3.1
sokoban,Iz5BqRyu,AI,AI,Human,2.9,2.3,1.7,1.1,2.7
sokoban,QV6Qfb7T,AI,AI,Human,3.1,2.35,1.55,1.2,2.75
sokoban,UeeTjy5b,AI,AI,AI,1.5,1.05,1.0,1.15,1.3
sokoban,oHSLE5UO,AI,AI,AI,1.65,1.0,1.2,1.0,1.2
sokoban,79DSy6TF,AI,AI,AI,1.8,1.15,1.55,1.05,1.45
sokoban,aE7sjnta,AI,AI,Human,1.25,1.1,1.85,1.05,1.1
sokoban,wSCVt298,AI,AI,Human,1.7,1.0,1.7,1.0,1.25
sokoban,8Ua6YU1D,Human,Human,Human,2.0,1.45,2.25,1.4,2.1
sokoban,t7mUz3Qe,Human,Human,Human,2.1,1.05,1.0,1.0,1.8
sokoban,7V2mu5KA,Human,Human,Human,3.65,2.35,1.3,1.45,3.35
sokoban,HjLVlKx4,Human,Human,Human,2.9,2.0,1.35,1.15,2.55
sokoban,5Au4nrI2,Human,Human,Human,3.2,1.95,1.4,1.1,2.8
sokoban,3xtQxBWH,Human,Human,Human,3.65,3.1,2.05,1.75,3.75
sokoban,QUT4qGl2,Human,Human,Human,3.6,2.85,1.75,1.5,3.6
sokoban,bhRr4CCv,Human,Human,Human,3.35,3.2,2.35,1.6,3.45
sokoban,iJNJxWfZ,Human,Human,Human,3.55,2.75,1.7,1.55,3.45
sokoban,TIXMBKaj,Human,Human,Human,3.3,2.85,1.85,1.25,3.05
sokoban,Z0SxyjXq,Human,Human,Human,2.1,1.55,2.3,1.25,2.1
sokoban,ROciIZDL,Human,Human,AI,3.65,2.25,1.3,1.2,3.3
sokoban,2v2qgbvC,Human,Human,AI,1.7,1.1,1.15,1.0,1.6
sokoban,73sJaNBn,Human,Human,Human,2.95,2.0,1.25,1.35,2.85
sokoban,f8sbFI0a,Human,Human,Human,3.3,2.4,1.85,1.15,3.2
sokoban,extLxWet,AI,Human,AI,2.6,1.95,1.45,1.15,2.5
sokoban,UTSKBMio,AI,Human,Human,3.4,2.35,1.5,1.5,3.2
sokoban,LUiVjpMm,AI,Human,AI,1.85,1.15,1.6,1.55,2.0
sokoban,cHhvQJlr,AI,Human,Human,2.65,1.45,1.1,1.1,2.25
sokoban,cTxMstwv,AI,Human,Human,3.3,2.0,1.4,1.3,3.15
sokoban,ij6onaGt,AI,Human,AI,3.55,2.05,1.05,1.3,3.25
sokoban,5iXJGqnK,AI,Human,Human,3.5,2.6,1.4,1.4,3.45
sokoban,H77pn4iQ,AI,Human,Human,3.85,3.45,1.8,1.75,3.9
sokoban,Iz5BqRyu,AI,Human,Human,3.45,2.75,1.6,1.45,3.4
sokoban,QV6Qfb7T,AI,Human,Human,3.7,2.85,1.7,1.6,3.6
sokoban,UeeTjy5b,AI,Human,AI,1.85,1.05,1.2,1.1,1.7
sokoban,oHSLE5UO,AI,Human,AI,1.85,1.05,2.0,1.05,1.65
sokoban,79DSy6TF,AI,Human,AI,1.35,1.15,2.75,1.15,1.3
sokoban,aE7sjnta,AI,Human,Human,2.5,1.4,2.2,1.25,2.25
sokoban,wSCVt298,AI,Human,Human,1.45,1.05,3.15,1.0,1.35
