metric,game,map_id,run_index,true_creator,forced_human,forced_ai,delta_ai_minus_human,plot_forced_human,plot_forced_ai,plot_delta_ai_minus_human
fun,mario,8cgqvaZu,4,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,8cgqvaZu,5,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,8cgqvaZu,6,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,8cgqvaZu,7,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,8cgqvaZu,8,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,8cgqvaZu,9,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,8cgqvaZu,10,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,8cgqvaZu,11,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,8cgqvaZu,12,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,8cgqvaZu,13,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,8cgqvaZu,14,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,8cgqvaZu,15,AI,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,8cgqvaZu,16,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,8cgqvaZu,17,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,8cgqvaZu,18,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,8cgqvaZu,19,AI,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,8cgqvaZu,20,AI,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,9Y6J8Rb8,1,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,9Y6J8Rb8,2,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,9Y6J8Rb8,3,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,9Y6J8Rb8,4,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,9Y6J8Rb8,5,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,9Y6J8Rb8,6,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,9Y6J8Rb8,7,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,9Y6J8Rb8,8,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,9Y6J8Rb8,9,AI,1.0,4.0,3.0,1.0,4.0,3.0
fun,mario,9Y6J8Rb8,10,AI,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,9Y6J8Rb8,11,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,9Y6J8Rb8,12,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,9Y6J8Rb8,13,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,9Y6J8Rb8,14,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,9Y6J8Rb8,15,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,9Y6J8Rb8,16,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,9Y6J8Rb8,17,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,9Y6J8Rb8,18,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,9Y6J8Rb8,19,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,9Y6J8Rb8,20,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,Jvmo5e7c,1,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,Jvmo5e7c,2,Human,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,Jvmo5e7c,3,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,Jvmo5e7c,4,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,Jvmo5e7c,5,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,Jvmo5e7c,6,Human,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,Jvmo5e7c,7,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,Jvmo5e7c,8,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,Jvmo5e7c,9,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,Jvmo5e7c,10,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,Jvmo5e7c,11,Human,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,Jvmo5e7c,12,Human,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,Jvmo5e7c,13,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,Jvmo5e7c,14,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,Jvmo5e7c,15,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,Jvmo5e7c,16,Human,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,Jvmo5e7c,17,Human,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,Jvmo5e7c,18,Human,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,Jvmo5e7c,19,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,Jvmo5e7c,20,Human,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,KKZ1dszi,1,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,KKZ1dszi,2,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,KKZ1dszi,3,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,KKZ1dszi,4,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,KKZ1dszi,5,AI,1.0,4.0,3.0,1.0,4.0,3.0
fun,mario,KKZ1dszi,6,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,KKZ1dszi,7,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,KKZ1dszi,8,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,KKZ1dszi,9,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,KKZ1dszi,10,AI,4.0,1.0,-3.0,4.0,1.0,-3.0
fun,mario,KKZ1dszi,11,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,KKZ1dszi,12,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,KKZ1dszi,13,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,KKZ1dszi,14,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,KKZ1dszi,15,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,KKZ1dszi,16,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,KKZ1dszi,17,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,KKZ1dszi,18,AI,1.0,4.0,3.0,1.0,4.0,3.0
fun,mario,KKZ1dszi,19,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,KKZ1dszi,20,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,RtKfCoTJ,1,Human,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,RtKfCoTJ,2,Human,3.0,1.0,-2.0,3.0,1.0,-2.0
fun,mario,RtKfCoTJ,3,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,RtKfCoTJ,4,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,RtKfCoTJ,5,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,RtKfCoTJ,6,Human,3.0,1.0,-2.0,3.0,1.0,-2.0
fun,mario,RtKfCoTJ,7,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,RtKfCoTJ,8,Human,4.0,1.0,-3.0,4.0,1.0,-3.0
fun,mario,RtKfCoTJ,9,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,RtKfCoTJ,10,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,RtKfCoTJ,11,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,RtKfCoTJ,12,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,RtKfCoTJ,13,Human,3.0,1.0,-2.0,3.0,1.0,-2.0
fun,mario,RtKfCoTJ,14,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,RtKfCoTJ,15,Human,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,RtKfCoTJ,16,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,RtKfCoTJ,17,Human,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,RtKfCoTJ,18,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,RtKfCoTJ,19,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,RtKfCoTJ,20,Human,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,S7F69Idf,1,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,S7F69Idf,2,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,S7F69Idf,3,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,S7F69Idf,4,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,S7F69Idf,5,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,S7F69Idf,6,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,S7F69Idf,7,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,S7F69Idf,8,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,S7F69Idf,9,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,S7F69Idf,10,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,S7F69Idf,11,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,S7F69Idf,12,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,S7F69Idf,13,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,S7F69Idf,14,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,S7F69Idf,15,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,S7F69Idf,16,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,S7F69Idf,17,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,S7F69Idf,18,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,S7F69Idf,19,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,S7F69Idf,20,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,U3v9pEvF,1,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,U3v9pEvF,2,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,U3v9pEvF,3,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,U3v9pEvF,4,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,U3v9pEvF,5,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,U3v9pEvF,6,AI,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,U3v9pEvF,7,AI,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,U3v9pEvF,8,AI,4.0,1.0,-3.0,4.0,1.0,-3.0
fun,mario,U3v9pEvF,9,AI,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,U3v9pEvF,10,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,U3v9pEvF,11,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,U3v9pEvF,12,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,U3v9pEvF,13,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,U3v9pEvF,14,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,U3v9pEvF,15,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,U3v9pEvF,16,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,U3v9pEvF,17,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,U3v9pEvF,18,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,U3v9pEvF,19,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,U3v9pEvF,20,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,V5XEzcZd,1,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,V5XEzcZd,2,Human,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,V5XEzcZd,3,Human,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,V5XEzcZd,4,Human,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,V5XEzcZd,5,Human,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,V5XEzcZd,6,Human,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,V5XEzcZd,7,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,V5XEzcZd,8,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,V5XEzcZd,9,Human,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,V5XEzcZd,10,Human,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,V5XEzcZd,11,Human,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,V5XEzcZd,12,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,V5XEzcZd,13,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,V5XEzcZd,14,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,V5XEzcZd,15,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,V5XEzcZd,16,Human,1.0,4.0,3.0,1.0,4.0,3.0
fun,mario,V5XEzcZd,17,Human,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,V5XEzcZd,18,Human,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,V5XEzcZd,19,Human,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,V5XEzcZd,20,Human,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,XYTl4EzV,1,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,2,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,3,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,4,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,5,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,6,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,7,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,XYTl4EzV,8,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,9,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,10,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,11,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,12,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,13,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,14,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,15,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,16,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,17,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,18,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,19,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,XYTl4EzV,20,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,Xd8WtCNl,1,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,Xd8WtCNl,2,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,Xd8WtCNl,3,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,Xd8WtCNl,4,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,Xd8WtCNl,5,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,Xd8WtCNl,6,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,Xd8WtCNl,7,AI,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,Xd8WtCNl,8,AI,2.0,4.0,2.0,2.0,4.0,2.0
fun,mario,Xd8WtCNl,9,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,Xd8WtCNl,10,AI,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,Xd8WtCNl,11,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,Xd8WtCNl,12,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,Xd8WtCNl,13,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,Xd8WtCNl,14,AI,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,Xd8WtCNl,15,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,Xd8WtCNl,16,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,Xd8WtCNl,17,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,Xd8WtCNl,18,AI,3.0,4.0,1.0,3.0,4.0,1.0
fun,mario,Xd8WtCNl,19,AI,4.0,2.0,-2.0,4.0,2.0,-2.0
fun,mario,Xd8WtCNl,20,AI,4.0,4.0,0.0,4.0,4.0,0.0
fun,mario,br59gvRp,1,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,2,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,br59gvRp,3,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,br59gvRp,4,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,5,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,br59gvRp,6,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,7,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,8,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,9,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,br59gvRp,10,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,11,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,br59gvRp,12,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,br59gvRp,13,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,14,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,15,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,16,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,17,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,br59gvRp,18,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,19,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,br59gvRp,20,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,dwIZVZn4,1,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,dwIZVZn4,2,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,dwIZVZn4,3,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,dwIZVZn4,4,AI,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,dwIZVZn4,5,AI,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,dwIZVZn4,6,AI,3.0,3.0,0.0,3.0,3.0,0.0
fun,mario,dwIZVZn4,7,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,dwIZVZn4,8,AI,3.0,1.0,-2.0,3.0,1.0,-2.0
fun,mario,dwIZVZn4,9,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,dwIZVZn4,10,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,dwIZVZn4,11,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,dwIZVZn4,12,AI,4.0,1.0,-3.0,4.0,1.0,-3.0
fun,mario,dwIZVZn4,13,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,dwIZVZn4,14,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,dwIZVZn4,15,AI,1.0,2.0,1.0,1.0,2.0,1.0
fun,mario,dwIZVZn4,16,AI,4.0,3.0,-1.0,4.0,3.0,-1.0
fun,mario,dwIZVZn4,17,AI,1.0,3.0,2.0,1.0,3.0,2.0
fun,mario,dwIZVZn4,18,AI,3.0,2.0,-1.0,3.0,2.0,-1.0
fun,mario,dwIZVZn4,19,AI,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,dwIZVZn4,20,AI,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,fc3fEIzT,1,Human,3.0,1.0,-2.0,3.0,1.0,-2.0
fun,mario,fc3fEIzT,2,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,fc3fEIzT,3,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,fc3fEIzT,4,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,fc3fEIzT,5,Human,2.0,3.0,1.0,2.0,3.0,1.0
fun,mario,fc3fEIzT,6,Human,1.0,1.0,0.0,1.0,1.0,0.0
fun,mario,fc3fEIzT,7,Human,2.0,1.0,-1.0,2.0,1.0,-1.0
fun,mario,fc3fEIzT,8,Human,2.0,2.0,0.0,2.0,2.0,0.0
fun,mario,fc3fEIzT,9,Human,1.0,2.0,1.0,1.0,2.0,1.0
